Item	Frequência	Ranking
desta	420165	131
além	419062	132
segundo	418993	133
porto	418212	134
presidente	412814	135
outras	412678	136
empresa	408261	137
menos	405657	138
sido	403953	139
alguns	397145	140
informação	393278	141
nem	392018	142
três	390909	143
serviço	390654	144
outro	389905	145
deve	389466	146
ele	388869	147
área	388713	148
primeiro	385607	149
ver	385058	150
todo	384415	151
desenvolvimento	383213	152
final	380045	153
primeira	379146	154
duas	378375	155
euros	370719	156
sistema	370408	157
qualidade	370073	158
direito	369427	159
centro	366475	160
empresas	366016	161
tal	365395	162
quer	364745	163
grupo	361024	164
conta	359929	165
dados	359539	166
nossa	358884	167
tendo	357132	168
estar	355505	169
programa	351426	170
valor	350875	171
segurança	350011	172
equipa	342922	173
antes	342878	174
acordo	342400	175
apoio	341947	176
gestão	339644	177
portuguesa	338923	178
nível	338381	179
formação	336490	180
vezes	335279	181
nosso	334610	182
cidade	334114	183
número	330455	184
relação	328682	185
público	325709	186
momento	324124	187
isto	323852	188
lugar	322401	189
tinha	320696	190
após	319947	191
pois	319269	192
facto	319169	193
contra	317693	194
possível	316923	195
pelas	316838	196
termos	314941	197
estes	312862	198
espaço	312343	199
situação	310862	200
local	310657	201
dar	310285	202
lei	309613	203
lado	307504	204
toda	306617	205
minha	306523	206
partir	306028	207
algumas	302476	208
universidade	301595	209
cerca	300980	210
meu	299398	211
lhe	299287	212
mercado	298344	213
história	295767	214
tipo	294245	215
escola	294226	216
câmara	293331	217
geral	292876	218
vários	291277	219
condições	290932	220
essa	289671	221
exemplo	288478	222
pouco	284762	223
joão	284017	224
nesta	283980	225
educação	281998	226
produtos	281949	227
alunos	281885	228
jogo	280924	229
enquanto	278707	230
português	278621	231
projeto	278222	232
municipal	276703	233
muitos	276589	234
nunca	276182	235
faz	275485	236
josé	272382	237
âmbito	271060	238
sentido	271048	239
esse	270556	240
temos	270207	241
diferentes	270106	242
nada	268733	243
quanto	268568	244
mesma	264870	245
várias	263073	246
nós	262191	247
ensino	261884	248
muitas	261674	249
outra	261293	250
acesso	261180	251
importante	258801	252
fim	258516	253
política	257290	254
base	257231	255
quais	257099	256
bom	257055	257
vão	256964	258
estas	256638	259
diz	253448	260
superior	253442	261
água	252928	262
horas	252707	263
tão	250687	264
disse	246595	265
sociais	245205	266
poder	244691	267
novos	243781	268
longo	243089	269
crianças	242991	270
tenho	242726	271
estava	241369	272
decisão	240496	273
então	237721	274
internacional	237610	275
apesar	236426	276
passado	236373	277
associação	233313	278
modo	232833	279
região	232112	280
presente	231754	281
novas	230672	282
poderá	230547	283
meses	229649	284
sociedade	229398	285
pública	229030	286
nome	228567	287
trabalhadores	228395	288
profissional	228133	289
ela	227880	290
período	227710	291
antónio	227467	292
conjunto	226388	293
comunicação	225710	294
países	225619	295
pessoa	225163	296
data	224210	297
causa	224144	298
boa	223878	299
semana	223114	300
grandes	221129	301
investigação	220908	302
dizer	220868	303
experiência	220255	304
maria	219992	305
início	218606	306
estudo	218341	307
casos	217853	308
saber	217314	309
projecto	215201	310
áreas	214829	311
problemas	214521	312
quase	214288	313
prova	212876	314
tribunal	212547	315
família	211930	316
resultados	210907	317
entanto	210741	318
construção	210605	319
eles	210372	320
ponto	210109	321
profissionais	209217	322
questão	208910	323
livro	208420	324
produção	208246	325
nossos	207113	326
organização	206543	327
medidas	206373	328
terá	205451	329
altura	205123	330
melhores	204508	331
meio	204418	332
tanto	203305	333
lá	203211	334
europeia	202450	335
portugueses	202032	336
jovens	201887	337
total	201787	338
ambiente	201486	339
comissão	201065	340
quatro	199868	341
abril	198725	342
pedro	198303	343
vista	198015	344
teve	197650	345
rede	197327	346
plano	197279	347
capacidade	196937	348
maio	196305	349
pontos	195182	350
especial	195170	351
site	193702	352
curso	193629	353
devem	191835	354
rua	191535	355
direitos	190897	356
dentro	190842	357
serão	190578	358
avaliação	190265	359
conhecimento	190025	360
falta	189879	361
aplicação	189103	362
marca	188903	363
utilização	187866	364
nomeadamente	187809	365
resposta	187131	366
for	186128	367
conselho	186010	368
permite	185674	369
edição	185623	370
tenha	185484	371
papel	185159	372
fora	184789	373
zona	184677	374
sim	184603	375
futuro	184416	376
problema	184138	377
junho	184075	378
regime	183102	379
república	182844	380
música	182590	381
europa	182004	382
fez	181292	383
coisas	180709	384
costa	180690	385
estamos	179679	386
si	179528	387
junto	179272	388
coisa	179180	389
criação	178735	390
feito	178146	391
administração	177618	392
frente	177166	393
clientes	176648	394
participação	176207	395
the	175466	396
você	175226	397
análise	174813	398
principais	174245	399
recursos	174179	400
devido	173657	401
informações	173563	402
modelo	173526	403
mês	173496	404
concelho	173437	405
março	173354	406
janeiro	173142	407
prazo	172868	408
dinheiro	172185	409
medida	171894	410
intervenção	171709	411
prática	171262	412
regional	170809	413
contrato	170732	414
obra	170168	415
valores	170063	416
próximo	169710	417
verdade	169665	418
embora	169469	419
escolas	169336	420
cultura	169215	421
principal	168656	422
criar	167998	423
fase	167000	424
jogos	166120	425
próprio	165474	426
alguma	165344	427
logo	164919	428
locais	164678	429
existe	164192	430
segunda	163735	431
objetivo	163271	432
sob	162913	433
noite	162717	434
civil	162456	435
necessário	162398	436
encontrar	162358	437
presença	162243	438
outubro	161844	439
natureza	161590	440
preço	161407	441
economia	161036	442
necessidade	160895	443
ordem	160821	444
risco	160793	445
uso	160683	446
simples	160386	447
ir	159843	448
cinco	159687	449
atividades	159640	450
i	159477	451
silva	159350	452
pessoal	159022	453
pagamento	158506	454
disso	158156	455
online	157507	456
algo	157456	457
comunidade	157418	458
estou	157298	459
face	156997	460
obras	156666	461
setembro	156664	462
mulheres	156007	463
maioria	156002	464
anterior	155776	465
atividade	155532	466
responsável	155337	467
assembleia	154930	468
investimento	154848	469
código	154574	470
tecnologia	154068	471
tarde	153690	472
real	153585	473
irá	153578	474
evento	153365	475
mundial	152861	476
título	152760	477
b	152745	478
instituto	152179	479
aumento	151982	480
homem	151930	481
existem	151406	482
recurso	151149	483
efeito	151136	484
procura	150560	485
últimos	150243	486
seguintes	150155	487
elementos	149999	488
proposta	149938	489
seria	149711	490
iniciativa	149709	491
realização	149581	492
estudos	149560	493
professores	149226	494
julho	149217	495
importância	149070	496
união	148806	497
sejam	148772	498
conhecer	148227	499
resultado	147978	500
seguinte	147778	501
fica	147412	502
dezembro	147269	503
vila	147257	504
autor	147019	505
sistemas	146971	506
imagem	146871	507
apresentação	146525	508
série	146498	509
novembro	146178	510
minutos	146035	511
parece	145924	512
linha	145869	513
ajuda	145799	514
bastante	145794	515
entrada	145765	516
população	145372	517
internet	145141	518
manuel	145037	519
pretende	144474	520
p	144187	521
clube	143945	522
defesa	143517	523
falar	143386	524
encontro	143322	525
energia	143258	526
entidades	143130	527
acção	143022	528
campo	142845	529
tratamento	142764	530
ficar	142663	531
ideia	142581	532
própria	142492	533
trabalhar	142183	534
ministério	141590	535
volta	141501	536
questões	141411	537
vamos	141287	538
hotel	141026	539
mulher	140870	540
in	140589	541
carlos	140441	542
tema	139886	543
fácil	139790	544
corpo	139388	545
norte	139005	546
pais	138370	547
coimbra	138101	548
matéria	138083	549
realidade	137981	550
deverá	137947	551
paulo	137832	552
natural	137814	553
interesse	137723	554
força	137413	555
banco	137239	556
situações	137214	557
pedido	137066	558
disponível	137014	559
pena	136926	560
funções	136787	561
último	136560	562
c	136398	563
instituições	136378	564
dá	136188	565
madeira	136128	566
época	135664	567
necessidades	135582	568
responsabilidade	135020	569
hora	134796	570
passar	134787	571
rio	134494	572
algum	134172	573
efeitos	134171	574
possibilidade	134160	575
sucesso	133973	576
sala	133680	577
sou	133635	578
diversas	133347	579
europeu	133278	580
respeito	132935	581
produto	132739	582
podemos	132710	583
capital	132579	584
trabalhos	131082	585
controlo	130949	586
mar	130915	587
partido	130734	588
caminho	130726	589
gt	130533	590
luís	130452	591
luz	130395	592
solução	130350	593
actividade	130005	594
contacto	129972	595
ajudar	129908	596
sobretudo	129364	597
crescimento	128946	598
filme	128852	599
relativamente	128743	600
posição	128720	601
forte	128112	602
redes	127974	603
destes	127856	604
futebol	127823	605
processos	127804	606
interior	127538	607
freguesia	127531	608
chegar	127493	609
exercício	127122	610
função	127026	611
cultural	126987	612
projetos	126905	613
feita	126748	614
ii	126522	615
brasil	126427	616
atenção	126283	617
via	126263	618
santos	125901	619
central	125768	620
fundo	125727	621
fevereiro	125323	622
viagem	124482	623
terra	124356	624
deixar	124317	625
amigos	124297	626
amor	124241	627
estados	124228	628
oportunidade	123685	629
nacionais	123675	630
passa	123529	631
idade	123209	632
referência	122963	633
claro	122924	634
venda	122874	635
arguido	122838	636
cliente	122829	637
última	122643	638
registo	122611	639
século	122540	640
art.	122539	641
contexto	122538	642
única	122103	643
diversos	121724	644
vem	121581	645
incluindo	121229	646
mãe	120979	647
açores	120943	648
entidade	120890	649
único	120882	650
lista	120859	651
soluções	120762	652
políticas	120535	653
manter	120440	654
unidade	120276	655
alterações	120149	656
d.	119928	657
guerra	119568	658
ficou	119248	659
aveiro	119141	660
miguel	119136	661
factos	119027	662
competências	118780	663
continua	118769	664
mim	118726	665
sei	118546	666
comum	118267	667
visita	117937	668
página	117887	669
uns	117859	670
arte	117365	671
ar	117356	672
artigos	117320	673
santa	117247	674
ação	117180	675
possa	116867	676
grupos	116711	677
emprego	116648	678
objectivo	116333	679
certo	116309	680
fazem	116069	681
língua	115969	682
regras	115872	683
perante	115807	684
realizar	115716	685
refere	115636	686
muita	115492	687
município	115385	688
vou	115342	689
usar	115010	690
professor	114783	691
digital	114691	692
sessão	114519	693
livre	114478	694
sul	114161	695
turismo	114100	696
casamento	113980	697
global	113956	698
exposição	113785	699
d	113527	700
ciências	113357	701
proteção	113225	702
serem	113202	703
fonte	113093	704
origem	113070	705
of	113047	706
estudantes	112805	707
eram	112788	708
preciso	112687	709
preços	112685	710
nesse	112665	711
diferente	112510	712
agosto	112460	713
palavras	112237	714
execução	111885	715
meios	111835	716
nossas	111811	717
carro	111105	718
texto	111055	719
acho	111040	720
membros	111000	721
sabe	110968	722
promoção	110941	723
relações	110631	724
tempos	110610	725
características	110520	726
escolha	110120	727
negócio	109959	728
prémio	109864	729
seis	109798	730
orçamento	109761	731
documento	109685	732
luta	109380	733
design	109364	734
psd	109249	735
acima	109162	736
justiça	109068	737
igreja	108803	738
actividades	108775	739
públicos	108707	740
vale	108599	741
pensar	108477	742
receber	108476	743
liga	108428	744
filhos	108373	745
email	108318	746
alguém	108302	747
taxa	108297	748
parque	108270	749
equipamentos	108153	750
jorge	108140	751
alta	108105	752
imagens	108064	753
fosse	108009	754
desenvolver	107838	755
reunião	107776	756
funcionamento	107661	757
dado	107658	758
ministro	107650	759
garantir	107626	760
ler	107523	761
pai	107474	762
formas	107473	763
espaços	107415	764
promover	107368	765
públicas	107119	766
versão	107078	767
concurso	106891	768
plataforma	106820	769
ferreira	106795	770
s.	106704	771
apresenta	106601	772
difícil	106444	773
doença	106410	774
excelente	106250	775
ciclo	106210	776
razão	106166	777
média	106069	778
começou	105949	779
movimento	105902	780
boas	105674	781
ana	105665	782
disponíveis	105643	783
momentos	105592	784
continuar	105460	785
encontra	105416	786
mal	105412	787
opção	105286	788
te	105219	789
material	105206	790
território	105180	791
aquilo	105095	792
quadro	104290	793
afirmou	104133	794
morte	104107	795
filho	104066	796
sector	104006	797
espanha	103939	798
documentos	103898	799
particular	103850	800
estrutura	103783	801
praia	103694	802
vontade	103583	803
ninguém	103553	804
hospital	103479	805
jovem	103350	806
igualmente	103187	807
técnica	103044	808
primeiros	102977	809
famílias	102916	810
homens	102865	811
deu	102709	812
importantes	102603	813
aí	102592	814
portanto	102486	815
estratégia	102141	816
deus	102093	817
máximo	101801	818
económica	101447	819
jogadores	101259	820
utilizadores	101227	821
crise	101216	822
alto	101043	823
internacionais	100965	824
redução	100919	825
ações	100790	826
materiais	100617	827
ciência	100480	828
pele	100411	829
oferta	100369	830
consumo	100189	831
manutenção	100125	832
património	100055	833
ganhar	99932	834
carreira	99874	835
contrário	99838	836
instituição	99633	837
rui	99474	838
opções	99443	839
s	99335	840
presentes	99303	841
nao	99270	842
práticas	99251	843
nota	99211	844
ps	99175	845
pagar	99112	846
técnico	98947	847
humanos	98916	848
relatório	98915	849
equipas	98895	850
maiores	98729	851
passou	98716	852
perto	98542	853
jornal	98456	854
esteve	98343	855
gente	98230	856
campanha	98110	857
propostas	97995	858
francisco	97984	859
existência	97967	860
notícias	97929	861
liberdade	97927	862
resolução	97925	863
oliveira	97593	864
cidadãos	97573	865
branco	97511	866
levar	97501	867
física	97448	868
transporte	97022	869
programas	96994	870
crédito	96926	871
impacto	96898	872
cuidados	96758	873
tenham	96716	874
pcp	96311	875
modelos	96179	876
contas	96163	877
apresentar	96110	878
revista	95469	879
técnicas	95426	880
cabo	95232	881
vitória	94935	882
inclui	94898	883
loja	94843	884
abertura	94627	885
baixo	94580	886
sábado	94578	887
opinião	94336	888
verde	94320	889
poderão	94206	890
covid-19	93831	891
maneira	93820	892
conteúdo	93783	893
museu	93627	894
tais	93561	895
destas	93515	896
inovação	93455	897
aquele	93327	898
desse	93314	899
agência	93313	900
havia	93312	901
participantes	93109	902
domingo	93076	903
sr.	92974	904
setor	92862	905
contudo	92447	906
nenhum	91975	907
quinta	91949	908
talvez	91928	909
temas	91845	910
precisa	91833	911
esses	91831	912
sousa	91708	913
colocar	91410	914
próxima	91397	915
aqueles	91324	916
unidos	91267	917
oficial	91168	918
partes	91151	919
sede	91138	920
negócios	91040	921
gosto	90980	922
fundamental	90900	923
alteração	90768	924
conferência	90690	925
fernando	90580	926
vídeo	90542	927
somos	90465	928
cor	90293	929
mudança	90266	930
instalações	90233	931
faculdade	90044	932
benfica	89972	933
etc.	89861	934
níveis	89824	935
ora	89821	936
eventos	89665	937
possam	89521	938
ideias	89521	939
custos	89484	940
livros	89424	941
decreto-lei	89356	942
mesmos	89350	943
braga	89332	944
oferece	89308	945
peso	89283	946
festa	89282	947
ligação	89229	948
conseguir	89167	949
deles	89136	950
vindo	89081	951
bens	89010	952
manhã	88951	953
criança	88918	954
dessa	88897	955
seguir	88855	956
entrega	88815	957
teatro	88749	958
comercial	88593	959
viver	88589	960
aulas	88446	961
espera	88283	962
aumentar	88179	963
animais	88117	964
ilha	88058	965
pereira	87844	966
telefone	87773	967
meus	87620	968
comprar	87531	969
desempenho	87417	970
chegou	87356	971
povo	87198	972
desporto	87088	973
económico	87019	974
escolar	86972	975
terem	86871	976
edifício	86824	977
evitar	86729	978
direcção	86691	979
imprensa	86644	980
evolução	86420	981
unidades	86340	982
quarto	86296	983
pequeno	86280	984
castelo	86275	985
leitura	86248	986
princípio	86092	987
peças	85952	988
começar	85928	989
compra	85816	990
obter	85702	991
direção	85591	992
dificuldades	85491	993
normal	85476	994
mão	85293	995
utilizar	85261	996
houve	85006	997
haver	84980	998
seguro	84973	999
projectos	84789	1000
campeonato	84266	1001
entrar	84230	1002
forças	84216	1003
ambos	84124	1004
lhes	84067	1005
melhorar	84008	1006
caixa	83906	1007
organizações	83893	1008
festival	83654	1009
cuja	83617	1010
estilo	83508	1011
parceria	83296	1012
tomar	83240	1013
teu	82769	1014
debate	82708	1015
prestação	82674	1016
ideal	82484	1017
palavra	82455	1018
acontece	82350	1019
atual	82237	1020
férias	82093	1021
tinham	82019	1022
essas	81998	1023
porta	81989	1024
tecnologias	81951	1025
indústria	81883	1026
a.	81654	1027
comércio	81479	1028
frança	81464	1029
visão	81452	1030
significa	81403	1031
tentar	81360	1032
interesses	81166	1033
mesa	81044	1034
diferença	80987	1035
santo	80960	1036
disposto	80893	1037
domínio	80892	1038
feira	80844	1039
pessoais	80778	1040
verão	80739	1041
metros	80695	1042
and	80674	1043
confiança	80543	1044
ontem	80491	1045
conteúdos	80420	1046
carta	80390	1047
mãos	80346	1048
tipos	80298	1049
porém	80106	1050
elas	79956	1051
actual	79927	1052
tua	79879	1053
pesquisa	79861	1054
legal	79816	1055
natal	79716	1056
especialmente	79690	1057
conceito	79579	1058
publicado	79519	1059
objetivos	79199	1060
missão	79148	1061
posso	79034	1062
fundação	78908	1063
declaração	78799	1064
favor	78732	1065
crime	78472	1066
comunicado	78469	1067
diário	78399	1068
conhecimentos	78135	1069
equipamento	78115	1070
poderia	78077	1071
suporte	78033	1072
visto	77928	1073
cima	77781	1074
espírito	77768	1075
percurso	77559	1076
semanas	77539	1077
contar	77533	1078
senhor	77476	1079
publicação	77439	1080
utilizador	77436	1081
passo	77391	1082
instalação	77379	1083
descrição	77247	1084
mensagem	77239	1085
constituição	77061	1086
antigo	77061	1087
médico	77020	1088
cumprimento	76827	1089
cinema	76823	1090
atualmente	76818	1091
técnicos	76769	1092
líder	76740	1093
web	76736	1094
casas	76710	1095
marcas	76634	1096
pequenos	76610	1097
sair	76569	1098
comentários	76566	1099
zonas	76507	1100
escolher	76465	1101
companhia	76404	1102
pequena	76360	1103
dimensão	76323	1104
junta	76191	1105
familiar	76160	1106
colaboração	75812	1107
autoridades	75788	1108
partida	75734	1109
cabeça	75715	1110
enorme	75661	1111
fotografia	75496	1112
software	75319	1113
x	75184	1114
objectivos	75155	1115
terceiro	75096	1116
realizado	75054	1117
discussão	74961	1118
dr.	74874	1119
eua	74833	1120
membro	74777	1121
cujo	74761	1122
aquela	74722	1123
obrigado	74603	1124
razões	74561	1125
mínimo	74527	1126
estavam	74415	1127
duração	74348	1128
categoria	74340	1129
normas	74267	1130
aprendizagem	74258	1131
lugares	74102	1132
recentemente	74070	1133
ali	74040	1134
recorrente	73960	1135
localização	73957	1136
nuno	73956	1137
financiamento	73793	1138
conforme	73784	1139
provas	73776	1140
começa	73692	1141
dúvida	73684	1142
cores	73657	1143
desafios	73652	1144
olhos	73596	1145
regulamento	73544	1146
cidades	73491	1147
restantes	73282	1148
dez	73273	1149
eleições	73195	1150
operação	73193	1151
distância	73189	1152
cartão	73183	1153
veio	73110	1154
protecção	72976	1155
totalmente	72971	1156
possui	72962	1157
terreno	72943	1158
médicos	72918	1159
executivo	72907	1160
cozinha	72816	1161
engenharia	72762	1162
nenhuma	72734	1163
sol	72706	1164
sexta-feira	72691	1165
sete	72687	1166
fui	72676	1167
deixa	72665	1168
televisão	72655	1169
quero	72613	1170
custo	72578	1171
integração	72520	1172
jogador	72468	1173
vigor	72455	1174
jesus	72451	1175
memória	72449	1176
doentes	72376	1177
menor	72370	1178
nessa	72359	1179
destino	72332	1180
cursos	72320	1181
participar	72075	1182
sporting	71904	1183
habitação	71879	1184
essencial	71824	1185
combate	71769	1186
desafio	71654	1187
cooperação	71553	1188
operações	71521	1189
distribuição	71453	1190
financeira	71439	1191
saída	71368	1192
longe	71310	1193
expressão	71252	1194
responsáveis	71244	1195
mostra	71067	1196
inicial	71050	1197
dúvidas	71007	1198
explica	70979	1199
perder	70966	1200
declarações	70922	1201
centros	70704	1202
dele	70615	1203
referido	70612	1204
implementação	70602	1205
números	70457	1206
despacho	70430	1207
igual	70385	1208
deixou	70359	1209
reino	70187	1210
recente	70150	1211
responder	69762	1212
marketing	69734	1213
apresentado	69708	1214
ambiental	69701	1215
científica	69646	1216
médio	69643	1217
rodrigues	69534	1218
realmente	69501	1219
coração	69483	1220
esquerda	69392	1221
umas	69323	1222
considera	69288	1223
princípios	69180	1224
mudar	69138	1225
biblioteca	69107	1226
jardim	69086	1227
parlamento	69074	1228
garantia	69069	1229
legislação	69038	1230
destaque	68993	1231
especiais	68987	1232
martins	68940	1233
perceber	68782	1234
prevenção	68763	1235
portas	68686	1236
pandemia	68682	1237
afirma	68674	1238
vir	68607	1239
águas	68501	1240
aplicações	68473	1241
violência	68451	1242
velocidade	68411	1243
associados	68400	1244
jogar	68309	1245
voltar	68275	1246
polícia	68144	1247
transportes	68139	1248
trata-se	68004	1249
sentença	67794	1250
terão	67689	1251
quartos	67474	1252
reconhecimento	67472	1253
aconteceu	67437	1254
exterior	67401	1255
dada	67326	1256
militar	67236	1257
alimentação	67175	1258
aquisição	66872	1259
acabou	66843	1260
entretanto	66832	1261
peça	66772	1262
baixa	66750	1263
linhas	66735	1264
anteriores	66719	1265
portuguesas	66645	1266
veículo	66640	1267
departamento	66634	1268
principalmente	66558	1269
assunto	66449	1270
alimentos	66386	1271
experiências	66381	1272
autores	66375	1273
aliás	66368	1274
entrevista	66327	1275
lusa	66317	1276
voz	66296	1277
penal	66214	1278
paz	66100	1279
próprios	66076	1280
acções	65967	1281
graças	65766	1282
encontra-se	65756	1283
oportunidades	65632	1284
google	65599	1285
recuperação	65544	1286
capaz	65425	1287
gama	65415	1288
consulta	65356	1289
finanças	65309	1290
previsto	65308	1291
carros	65142	1292
mobilidade	65096	1293
realizada	65094	1294
abaixo	65092	1295
completamente	65088	1296
medicina	65079	1297
lojas	65074	1298
sequência	64972	1299
próximos	64910	1300
restaurante	64812	1301
político	64777	1302
veículos	64750	1303
basta	64672	1304
melhoria	64604	1305
contratos	64576	1306
existentes	64488	1307
acontecer	64400	1308
carvalho	64396	1309
passagem	64348	1310
irão	64146	1311
permitir	64062	1312
olhar	63977	1313
la	63879	1314
assegurar	63779	1315
decisões	63773	1316
podendo	63762	1317
pequenas	63637	1318
bons	63632	1319
fiscal	63610	1320
podia	63591	1321
esteja	63590	1322
garante	63563	1323
pedir	63562	1324
cargo	63541	1325
despesas	63426	1326
conclusão	63332	1327
m	63227	1328
solidariedade	63223	1329
tive	63110	1330
algarve	63064	1331
propriedade	63021	1332
autoridade	62937	1333
china	62866	1334
terceira	62741	1335
banda	62740	1336
certeza	62718	1337
km	62689	1338
pinto	62567	1339
motor	62492	1340
resto	62452	1341
competição	62441	1342
esforço	62360	1343
lançamento	62326	1344
casal	62318	1345
diretor	62305	1346
vinho	62298	1347
mercados	62295	1348
horário	62213	1349
poucos	62201	1350
artes	62201	1351
regiões	62192	1352
classe	62122	1353
comportamento	62103	1354
querem	62005	1355
atrás	62000	1356
género	61967	1357
chega	61939	1358
milhares	61816	1359
constante	61815	1360
designadamente	61753	1361
elevado	61665	1362
ricardo	61487	1363
tornar	61441	1364
regresso	61431	1365
gomes	61431	1366
conhecido	61401	1367
partilha	61368	1368
classificação	61362	1369
anunciou	61283	1370
consegue	61266	1371
queria	61248	1372
humano	61247	1373
oito	61238	1374
original	61205	1375
exploração	61051	1376
viagens	61045	1377
histórico	61043	1378
conseguiu	60980	1379
lopes	60939	1380
limpeza	60939	1381
senhora	60929	1382
planos	60895	1383
vi	60824	1384
estrada	60818	1385
identificação	60811	1386
clara	60804	1387
visa	60798	1388
rapidamente	60713	1389
europeus	60664	1390
divulgação	60641	1391
mesmas	60637	1392
doenças	60599	1393
iniciativas	60561	1394
cento	60475	1395
ferramentas	60459	1396
revisão	60450	1397
congresso	60431	1398
fundos	60399	1399
alínea	60394	1400
sites	60357	1401
representa	60339	1402
parecer	60332	1403
respostas	60270	1404
segunda-feira	60267	1405
individual	60226	1406
naturais	60177	1407
sentir	60121	1408
procedimento	60112	1409
volume	60070	1410
inglês	60055	1411
resulta	59931	1412
cruz	59916	1413
grau	59896	1414
dívida	59877	1415
quantidade	59838	1416
demais	59834	1417
familiares	59818	1418
ue	59737	1419
limite	59683	1420
escrita	59653	1421
espécie	59619	1422
inscrição	59609	1423
tiveram	59566	1424
aprender	59522	1425
amigo	59435	1426
distrito	59366	1427
funcionários	59330	1428
queremos	59294	1429
montante	59118	1430
preparação	59093	1431
enviado	59018	1432
órgãos	59000	1433
geração	58989	1434
associações	58965	1435
rápido	58941	1436
escrito	58917	1437
mário	58866	1438
políticos	58839	1439
detalhes	58788	1440
almeida	58787	1441
alemanha	58777	1442
facebook	58743	1443
encontram	58719	1444
candidatura	58715	1445
estará	58678	1446
estação	58550	1447
andar	58546	1448
passos	58544	1449
riscos	58530	1450
mestrado	58513	1451
objecto	58504	1452
requisitos	58501	1453
propósito	58480	1454
perda	58477	1455
aberto	58452	1456
empresarial	58417	1457
contribuir	58389	1458
faça	58360	1459
autos	58306	1460
filmes	58261	1461
termo	58211	1462
consequências	58042	1463
deputados	58008	1464
metade	57940	1465
últimas	57931	1466
agentes	57862	1467
reduzir	57769	1468
surge	57741	1469
fotos	57724	1470
fotografias	57722	1471
decidiu	57696	1472
industrial	57676	1473
identidade	57649	1474
revela	57647	1475
alimentar	57635	1476
tradicional	57626	1477
breve	57598	1478
instrumentos	57570	1479
iii	57566	1480
seguida	57550	1481
á	57488	1482
quinta-feira	57460	1483
pressão	57341	1484
recebeu	57341	1485
docentes	57299	1486
parceiros	57116	1487
permitem	57089	1488
fala	57056	1489
definição	57034	1490
normalmente	57011	1491
humana	56958	1492
medo	56944	1493
oferecer	56920	1494
taxas	56915	1495
banho	56863	1496
teria	56860	1497
desenvolvido	56850	1498
potencial	56707	1499
resolver	56644	1500
cumprir	56598	1501
actualmente	56572	1502
permanente	56566	1503
constitui	56566	1504
feliz	56544	1505
h	56539	1506
antiga	56490	1507
bola	56462	1508
secção	56407	1509
pt	56379	1510
testes	56344	1511
competência	56234	1512
rápida	56192	1513
resíduos	56147	1514
bolsa	56135	1515
mostrar	56128	1516
tv	56097	1517
estando	56041	1518
direita	56040	1519
financeiro	56030	1520
norma	55967	1521
referiu	55961	1522
treinador	55948	1523
gerais	55929	1524
acompanhamento	55899	1525
aposta	55878	1526
culturais	55831	1527
autorização	55775	1528
ouvir	55767	1529
sinais	55736	1530
necessárias	55700	1531
ia	55629	1532
apoiar	55621	1533
café	55590	1534
seleção	55574	1535
ecrã	55529	1536
sessões	55527	1537
daí	55510	1538
finalmente	55498	1539
necessária	55494	1540
completo	55468	1541
partilhar	55405	1542
abrir	55311	1543
notícia	55292	1544
necessários	55231	1545
